English,Överge,Syriac,Arabic
Abandon,Förnedra,"ܬܵܪܹܟ   ،   ܬܪܵܟܵܐ   ,    ܫܵܒܹܩ   ،   ܫܒ݂ܵܩܵܐ ","يترك   ,   يتخلى   ,   يهمل  "
Abase,Abash,ܙܲܠܸܠ ،  ܢܵܟܹܦ  ،  ܡܵܝܹܩ  ، ܡܝܵܩܵܐ ،  ܫܝ݂ܛܵܐ ، ܡܲܫܝܸܛ ,"يُذل   ,   يهين   ,   يحقّر "
Abate,,ܒܵܛܹܠ ، ܒܛܵܠܵܐ ،  ܫܵܪܹܐ ،  ܫܪܵܝܵܐ ، ܠܵܚܹܐ ، ܠܚܵܝܵܐ ،  ܡܲܟܝܹܫ  ، ܡܲܟܝܘܿܫܹܐ  ,"يُلغي   ,   يُبطِل  ,  ينسخ "
Abattoir,,ܡܫܲܠܚܵܐ  ،  ܒܹܝܬ݂ ܡܲܫܠܚܵܐ,"مَسْلَخ  ,  المَسْلَخ "
Abbreviate,Förkortning,"ܓܵܕܹܡ  ،  ܡܲܟܪܹܐ  ,  ܡܲܟܪܘܿܝܹܐ  ،  ܩܵܦܹܣ ، ܩܲܪܦܹܣ","يَختصر   ,   يوجز "
Abbreviation,Buk,"ܓܕܲܡܬܵܐ  ,  ܟܲܪ̈ܝܵܬ݂ܵܐ  , ܩܦܵܣܬܵܐ  ,   ܦܣܵܩܬܵܐ","إختصار ,  إيجاز "
Abdicate,,ܫܵܒܹܩ  ،  ܫܒ݂ܵܩܵܐ  ،  ܪܵܟܹܢ ,"يتنازل  ,  يتخلى   "
Abdication,,ܡܸܬ݂ܢܲܚܬ݂ܵܢܘܬ݂ܵܐ ,"تنازَل  ,   تَخَلّي  ,  التنازل ,  التخلي "
Abdomen,Röva bort,"ܟܲܪܣܵܐ  ,  ܙܸܩܵܐ","بَطْن  ,  جَوْفٌ"
Abduct,Förmåga,ܚܵܛܹܦ ، ܓܵܠܹܙ  ، ܚܛܵܦܵܐ ، ܢܵܬܹܫ ، ܢܬ݂ܵܫܵܐ    -   ܚܛܘ݂ܦܝܵܐ ,يخطف    -    إختطاف 
Aberrant,,ܛܵܥܝܵܐ  ،  ܛܠܝ݂ܩܵܐ  ،  ܫܢܝ݂ܙܵܐ,"ضال  , زائغ  ,  مُنحَرِف"
Abet,,ܓܲܪܹܓ݂  ،  ܚܲܦܸܛ ,"يُحَرّض  ,  يَحث "
Abigail,,ܐܲܡܬ݂ܵܐ ,"آمَة , جارية"
Ability,Abjekt,"ܥܲܙܝ݂ܙܘ݂ܬ݂ܵܐ  , ܬܘ݂ܩܦܵܐ  ,  ܡܲܨܝܵܢܘ݂ܬ݂ܵܐ  ,  ܚܲܝܠܵܐ","طاقة  ,  قِدْرَة  ,  مهارة"
Abject,Avsvärja,"ܫܝ݂ܛܵܐ  ,  ܟܘܿܦܵܐ  ,  ܚܲܠܵܫܵܐ","ذَليل  , حقير ,  دنيُ"
Ablaze,,ܫܘ݂ܠܗܘ݂ܒ݂ܵܐ,"مُشتعل , مُلتهب"
Able,Onormal,ܡܲܨܝܵܢܵܐ,"قادر , مستطيع"
Abloom,,ܨܲܡܘ݂ܚܵܐ,"مُزهِر , نَيّر , لامَع"
Ablution,,ܚܲܠܲܠܬܵܐ  ،  ܡܫܲܝܬܵܐ  ،  ܦܲܪܦܸܥܬܵܐ,"غَسِلْ ,  وضوء"
Abnormal,Avskyvärd,ܫܢܝ݂ܙܵܐ,شاذ 
Abnormality,,ܫܢܝ݂ܙܘ݂݂ܬ݂ܵܐ,شذوذ 
Abominable,Handla om,"ܣܲܢܝܵܐ  ,  ܣ݀ܪܝܵܐ","كَريه ,  قَبيح "
Abode,,ܒܲܘܬܵܐ  ،  ܢܲܘܚܵܐ  ،  ܒܝܵܬ݂ܬܵܐ,"مُقام  ,  إقامة "
Abortion,,ܫܕܵܝܬ݂ܵܐ ܕܥܘ݂ܠܵܐ,"إجهاض ,  إسقاط"
About,Avskaffa,"ܚܕ݂ܵܪ   ,   ܚܕ݂ܵܪܲܝ   ,   ܐܲܝܟ","نَحْوَ  ,  حَوْلَ "
Above,,ܥܲܠ  ،   ܪܸܫ,فَوْقَ
Abrogate,Avvika,ܒܵܛܹܠ  ،  ܡܒܵܛܹܠ   ،   ܫܵܪܹܐ   ،   ܫܪܵܝܵܐ ,"يبطل   ,   يلغي  "
Absent,Absurd,"ܥܪܝ݂ܒ݂ܵܐ  ,  ܥܵܪܘܿܒ݂ܵܐ",غائب 
Absurd,Riklig,ܒܲܛܝ̣ܠܵܐ,باطل 
Abundant,Missbruk,"ܦܸܪܝܵܐ  ,  ܣܲܓܝ݂ܐܵܐ","كثير  ,  وافر "
Abuse,Avgrund,"ܪܕܘ݂ܦܝܵܐ ,  ܛܪܘܿܢܘ݂ܬ݂ܵܐ ,  ܕܘ݂ܣܩܸܠܝܵܐ ,  ܛܠܘ݂ܡܝܵܐ","إساءة  ,  تَعَسّفْ "
Abyss,Accelerera,ܗܵܘܬܵܐ  ،  ܫܸܬܵܐ,"هاوية  ,  أسفَل"
Accelerate,Acceptera,"ܡܲܠܝܸܙ  ،  ܡܲܠܝܘܿܙܹܐ  ,  ܪܵܗܹܒ݂  ،   ܣܲܪܗܸܒ݂   ","يسرّع   ,   يُعجّل "
Accept,Tillgång,ܩܵܒܹܠ  ،  ܡܩܵܒܹܠ    ،  ܫܵܠܹܡ ,"يَقبل   ,   يَرضي   "
Access,boende,"ܥܒ݂ܵܪܵܐ  ,  ܡܲܥܵܠܵܐ","دخول  ,  ولوج "
Accommodating,Följa,ܫܲܦܝܵܐ  ،  ܡܲܫܦܪܵܢܵܐ  ،  ܪܲܩܝ݂ܩܵܐ  ,"لطيف  ,  مُجامل"
Accompaniment,,ܠܲܘܝܘ݂ܬ݂ܵܐ ,"مرافقة   ,   مصاحبة"
Accompany,Utföra,ܠܵܘܹܐ  ،  ܠܘܵܝܵܐ ,"يرافق   ,   يلازم  "
Accomplish,Överensstämmelse,"ܓܵܡܹܪ  ,  ܬܵܝܹܡ ،  ܡܲܬܝܹܡ ، ܡܬܲܡܹܡ  ،  ܚܵܬܹܡ","يكمل   ,   يُنجز  ,  يتم  ,  يختم "
Accordance,konto,ܠܚܝ݂ܡܘ݂ܬ݂ܵܐ  ،  ܐܲܘܝܘ݂ܬ݂ܵܐ,"إنسجام  ,  إتفاقْ   ,  تطابق"
Accordant,,ܠܚܝ݂݂ܡܵܐ  ،  ܝܵܐܝܵܐ  ،  ܥܲܡܝ݂ܨܵܐ,"ملائم ,  مطابق  ,  منسَجِم"
Account,Ansvarighet,"ܡܵܢܹܐ  ،  ܡܢܵܝܵܐ  ،  ܚܲܫܒܸܿܢ    ,   ܚܲܫܒܿܘܿܢܹܐ ","يَحسب  ,  يَعدّ   ,  يُحصي"
Accountability,Ansvarig,ܡܸܫܬܲܐܠܵܢܘ݂ܬ݂ܵܐ,مسؤولية 
Accountable,Förbannad,ܡܸܫܬܲܐܠܵܢܵܐ,مسؤول 
Accounting,,ܚܵܫܘܿܒ݂ܵܐ  ،  ܡܚܲܫܒ݂ܵܢܵܐ,"مُحاسِبْ  ,  المُحاسِب"
Accrual,,ܦܸܪܝܘ݂݂ܬ݂ܵܐ  ،  ܚܒ݂ܝ݂ܨܘ݂ܬ݂ܵܐ,"تكاثُرْ   ,   تَراكُمْ"
Accurate,,ܬܪܝ݂݂ܨܵܐ  ،  ܕܲܩܝ݂ܩܵܐ ,"مضبوط  , صحيح  , دقيق"
Accursed,Syra,ܠܝ݂ܛܵܐ,مَلعون
Accusation,,ܡܲܪܡܝܵܢܘ݂ܬ݂ܵܐ,إتهام   
Accustomed,,ܥܝܵܕ݂ܵܝܵܐ  ،  ܝ݂ܕܝ݂ܥܵܐ ,"مُعتاد  ,  مألوف"
Achievement,,ܥܒ݂ܵܕܵܐ  ,"إداء   ,   إنجاز"
Acid,Aciditet,ܚܲܡܘ݂ܨܵܐ,حامض 
Acidity,Erkänna,ܚܲܡܘ݂ܨܘ݂ܬ݂ܵܐ,حموضة 
Acknowledge,Bekräftelse,"ܡܘ݂ܕܹܐܠܹܗ  ,  ܐܸܫܬܲܘܕܿܝ݂","إعترفَ ,  أقرَّ"
Acknowledgement,Höjdpunkt,ܡܲܘܕܵܝܬܵܐ ، ܡܲܘܕܝܵܢܘ݂ܬ݂ܵܐ,"إعترافْ ,  إقرار ,  إذعانْ"
Acme,Bekanta,"ܣܵܟ̣ܵܐ   ,   ܪܸܫܵܐ   ,   ܩܲܪܢܵܐ   ,   ܪܲܘܡܵܐ","ذروة  ,  رأس  ,  هامة  "
Acorn,,ܒܲܠܘ݂ܛܵܐ,"بلوطة  , جوزة البلوط"
Acquiesce,Tillägna sig,ܩܵܒܹܠ  ،  ܡܩܵܒܹܠ    ،  ܫܵܠܹܡ ,"يَقبل   ,   يَّذعن "
Acquiescence,,ܙܘ݂ܕܵܩܵܐ ,"قبول  ,  إذعان"
Acquire,Frikänna,ܫܵܩܹܠ  ،  ܫܩܵܠܵܐ  ،   ܩܵܢܹܐ   ،   ܩܢܵܝܵܐ ,"يحصل  ,  يحرز  ,  يقتني  ,  ينال "
Acquirement,,ܩܲܢܵܝܘ݂ܬ݂ܵܐ ,"إكتساب  ,  إقتناء   ,  إحراز "
Acquittal,Tunnland,"ܒܘ݂ܪܵܝܵܐ  ,  ܪܵܦܲܝܬܵܐ","تبرئة  ,   إعفاء  ,    إطلاقْ "
Acre,spela teater,ܦܕܵܢܵܐ,فدانْ (وحدة مساحة)
Acrimonious,,ܨܲܪܝ݂ܦܵܐ  ،  ܚܲܪܝ݂ܦܵܐ  -  ܩܲܫܝܵܐ  ،  ܥܲܪܢܵܐ ,"لاذع  , حِرّيف  -  قاسٍ"
Acrobat,,ܐܵܟܪܘܿܒܵܐ,بَهلوان
Act,Aktiva,"ܥܒ݂ܵܕܵܐ  ,  ܦܸܥܠܵܐ   ","فِعِلْ  ,  عَمَلْ "
Active,Aktivitet,"ܥܵܒ݂ܘܿܕܵܐ  ,  ܟܲܫܝ݂ܪܵܐ","فَعّال  ,  نَشِطْ "
Activity,Faktisk,ܥܵܒ݂ܘ݂ܿܕܘ݂ܬ݂ܵܐ  ،  ܙܪܝ݂ܙܘ݂ܬܐ,"نَشاط ,  هِمّة  ,  فعالية"
Actor,,ܡܲܡܬ݂ܠܵܢܵܐ ,"مُمثّل  ,  الممثل المسرحي "
Actress,,ܡܲܡܬ݂݂ܠܲܢܬܵܐ,"مُمثّّلة  ,  الممثلة المَسرحية "
Actual,Faktiskt,"ܬܪܝ݂ܨܵܐ  ,  ܫܲܪܝ݂ܪܵܐ  ,  ܣܵܥܘܿܪܵܝܵܐ","فعلي  ,  حقيقي  ,  واقعي"
Actually,Akut,"ܣܘ݂ܥܪܵܢܵܐܝ݂ܬ݂  ,  ܥܒ݂ܵܕܵܢܵܐܝ݂ܬ݂  ،  ܫܲܪܝ݂ܪܵܐܝ݂ܬ݂","فِعلاً   ,  حقّاً  ,  في الواقع"
Aculeate,,ܓܕ݂ܝ݂ܠܵܐ  ،  ܡܚܘ݂ܪܒܩܵܐ  -  ܟܸܬܒ݂ܵܢܵܝܵܐ ، ܟܘܿܒܵܢܵܝܵܐ,شائك   -   شوكي
Acute,,"ܣܲܟܘ݂ܠܬܵܢܵܐ  ,  ܛܲܪܩܵܐ  ,  ܢܲܗܝ݂ܪܵܐ","ذكي  , حاذقْ "
Adapt,,"ܠܵܚܹܡ ،  ܠܘ݂ܚܵܡܵܐ ,  ܚܵܫܹܚ  ،   ܚܫܵܚܵܐ ،  ܫܵܩܹܐ","يتكيّف  ,   يتأقلم  ,  يتناسب  "
Add,,"ܙܵܝܹܕ  ،  ܡܲܙܝܸܕ  ,  ܝܵܣܸܦ  ،  ܡܵܘܣܸܦ ","يضيف   ,   يزيد على "
Addiction,,ܡܟܲܬܿܪܵܢܘ݂ܬ݂ܵܐ  ،  ܐܲܡܝ݂ܢܘ݂ܬ݂ܵܐ  ،  ܡܲܓܢܵܢܘ݂ܬ݂ܵܐ,"إدمان  ,  إستمرار"
Addition,,"ܡܲܙܝܵܕܬܵܐ ، ܬܲܘܣܲܦܬܵܐ ، ܡܲܠܘܬ݂ܘ݂ܬ݂ܵܐ ، ܢܘ݂ܩܵܦܵܐ , ܐܲܩܲܦܬ݂ܵܐ","زيادة  ,  إضافة  ,  مُلحَق"
Addle,,ܚܵܪܹܒ݂ ، ܡܲܚܪܸܒ݂  ،  ܣܵܪܹܚ ، ܣܵܦܹܣ   -   ܫܵܓ݂ܹܫ ، ܫܓ݂ܵܫܵܐ,"يفسد  ,   ينتن    -     يشوش  "
